stitle,xpostDate,xbody,xcreatedDate,xAddress,GTag_longitude,GTag_latitude
垃圾清運點：臺北市文山區辛亥路四段77巷96號,2010/11/8 下午 06:23:00,車號：94-S377，車次：第3車，時間：22:00~22:01,2012/3/1 上午 06:44:00,臺北市文山區辛亥路四段77巷96號,121.560481,25.008817
垃圾清運點：臺北市文山區興隆路二段207巷9弄1號旁,2010/12/2 下午 10:06:00,車號：94-S378，車次：第2車，時間：20:02~20:04,2012/3/1 上午 06:44:00,臺北市文山區興隆路二段207巷9弄1號旁,121.545144,24.998813
垃圾清運點：臺北市文山區興隆路一段70巷13號前,2010/11/8 下午 06:23:00,車號：94-S379，車次：第1車，時間：17:11~17:16,2012/3/1 上午 06:44:00,臺北市文山區興隆路一段70巷13號前,121.540049,25.001866
垃圾清運點：臺北市文山區萬盛街25號旁,2010/11/8 下午 06:23:00,車號：94-S379，車次：第3車，時間：21:39~21:43,2012/3/1 上午 06:44:00,臺北市文山區萬盛街25號旁,121.540582,25.006229
垃圾清運點：臺北市文山區辛亥路六段88號前,2010/12/2 下午 09:47:00,車號：94-S380，車次：第2車，時間：19:35~19:37,2012/3/1 上午 06:44:00,臺北市文山區辛亥路六段88號前,121.5523481,24.98882954
垃圾清運點：臺北市文山區恆光街30巷20號,2010/11/8 下午 06:23:00,車號：94-S380，車次：第3車，時間：22:00~22:03,2012/3/1 上午 06:44:00,臺北市文山區恆光街30巷20號,121.566198,24.981939
垃圾清運點：臺北市文山區政大一街320巷1號旁,2011/1/26 下午 01:57:00,車號：94-S382，車次：第2車，時間：19:25~19:27,2012/3/1 上午 06:44:00,臺北市文山區政大一街320巷1號旁,121.58577,24.986308
垃圾清運點：臺北市文山區木柵路三段85巷23弄14號唐莊,2010/11/8 下午 06:23:00,車號：94-S382，車次：第3車，時間：21:32~21:35,2012/3/1 上午 06:44:00,臺北市文山區木柵路三段85巷23弄14號唐莊,121.568228,24.989607
垃圾清運點：臺北市文山區萬壽路61巷39號,2011/1/18 上午 10:55:00,車號：96-S408，車次：第1車，時間：14:40-14:41(一.五各收1次),2012/3/1 上午 06:44:00,臺北市文山區萬壽路61巷39號,121.589951,24.986625
垃圾清運點：臺北市文山區指南路三段40巷20之3號（八月桂花香）,2011/8/22 上午 10:20:00,車號：96-S408，車次：第2車，時間：15:48~15:51,2012/3/1 上午 06:44:00,臺北市文山區指南路三段40巷20之3號（八月桂花香）,121.5972,24.9697
垃圾清運點：臺北市文山區指南路三段58之72號（水綱琴）,2011/8/22 上午 10:21:00,車號：96-S408，車次：第2車，時間：16:11~16:12,2012/3/1 上午 06:45:00,臺北市文山區指南路三段58之72號（水綱琴）,121.5801,24.9839
垃圾清運點：臺北市文山區指南路三段38巷22至26號〈大觀園〉,2011/8/22 上午 10:28:00,車號：96-S408，車次：第3車，時間：18:32~18:33,2012/3/1 上午 06:45:00,臺北市文山區指南路三段38巷22至26號〈大觀園〉,121.5869,24.9764
垃圾清運點：臺北市文山區老泉街24之1號、24之5號〈里長〉,2011/8/22 上午 10:29:00,車號：96-S408，車次：第3車，時間：19:17~19:19,2012/3/1 上午 06:45:00,臺北市文山區老泉街24之1號、24之5號〈里長〉,121.5601,24.9755
